X	Y
127.690	640.88
128.029	725.62
128.367	838.56
128.706	985.31
129.045	1145.12
129.383	1326.38
129.722	1506.06
130.061	1650.12
130.400	1770.50
130.738	1850.31
131.077	1910.81
131.416	1963.00
131.754	2013.31
132.093	2049.50
132.432	2083.31
132.770	2110.31
133.109	2131.69
133.448	2145.25
133.786	2161.81
134.125	2166.75
134.464	2170.69
134.803	2174.69
135.141	2187.94
135.480	2188.44
135.819	2176.44
136.157	2158.06
136.496	2139.94
136.835	2131.50
137.173	2131.00
137.512	2133.25
137.851	2141.19
138.190	2151.00
138.528	2165.19
138.867	2176.75
139.206	2187.56
139.544	2198.06
139.883	2199.19
140.222	2192.06
140.561	2182.12
140.899	2172.81
141.238	2163.88
141.577	2151.56
141.915	2146.44
142.254	2145.88
142.593	2140.38
142.931	2126.50
143.270	2108.75
143.609	2095.38
143.947	2065.25
144.286	2042.62
144.625	2020.12
144.964	1983.94
145.302	1953.44
145.641	1913.62
145.980	1856.19
146.318	1783.19
146.657	1695.50
146.996	1586.00
147.335	1463.88
147.673	1325.12
148.012	1183.12
148.351	1043.94
148.689	910.25
149.028	788.31
149.367	696.06
149.705	617.38
150.044	554.69
150.383	503.81
150.721	466.12
151.060	436.00
151.399	406.44
151.738	384.31
152.076	366.31
152.415	349.81
152.754	336.88
153.092	330.62
153.431	321.44
153.770	313.56
154.109	304.88
154.447	295.06
154.786	290.19
155.125	280.88
155.463	274.38
155.802	270.88
156.141	266.62
156.479	259.50
156.818	254.81
157.157	252.88
157.495	249.81
157.834	246.50
158.173	244.75
158.512	245.50
158.850	250.00
159.189	252.56
159.528	254.12
159.866	257.12
160.205	258.00
160.544	259.75
160.883	263.31
161.221	266.75
161.560	269.75
161.899	273.12
162.237	279.50
162.576	281.81
162.915	284.31
163.253	288.25
163.592	293.25
163.931	300.69
164.270	308.19
164.608	327.00
164.947	343.00
165.286	358.06
165.624	375.94
165.963	392.75
166.302	413.19
166.640	434.38
166.979	464.75
167.318	500.56
167.656	558.06
167.995	630.12
168.334	728.00
168.673	846.62
169.011	1001.38
169.350	1190.19
169.689	1373.12
170.027	1549.25
170.366	1680.81
170.705	1792.50
171.044	1873.44
171.382	1924.75
171.721	1969.38
172.060	2009.38
172.398	2053.00
